,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,nb_unique_pos,num_actionable,L0,L1,new_preds
4354,514.0,45.0,4.0,68375.27,1.0,125658.28,Spain,Male,1,0,6249,10000,3.0,0.39128473710928385,1
2149,721.0,57.0,4.0,99097.33,1.0,50230.30999999999,Spain,Male,1,1,3642,10000,4.0,1.304050660301674,1
7142,612.0,63.0,2.0,131583.59,2.0,121529.59,Spain,Female,1,1,2438,10000,3.0,1.0030833486734922,1
3921,588.0,59.0,9.0,0.0,2.0,27965.000000000007,France,Male,1,0,3782,10000,3.0,0.6526128321463,1
8177,698.0,40.0,8.0,160272.27,1.0,156048.64,Germany,Female,0,0,8089,10000,3.0,0.2242167430514177,1
2542,553.0,41.0,9.0,124349.34,2.0,151167.94,Germany,Male,1,1,8102,10000,4.0,0.5555723979567841,1
4071,690.0,54.0,4.0,0.0,2.0,94949.84,Spain,Female,1,0,2369,10000,4.0,1.2754294825866477,1
3782,648.0,44.0,2.0,79064.85,1.0,188227.8,Germany,Female,1,0,6178,10000,3.0,1.4254063011995237,1
856,521.0,49.0,4.0,171601.27,1.0,60375.18,Germany,Female,1,0,2950,10000,4.0,0.5060498464845862,1
2362,580.0,45.0,4.0,143391.07,1.0,23881.620000000017,Germany,Male,1,1,6248,10000,3.0,0.4590217551477125,1
9689,720.0,57.0,9.0,117738.81,2.0,54448.41,France,Female,1,1,3474,10000,4.0,1.325911734117373,1
6080,772.0,42.0,4.0,0.0,1.0,170034.95,Spain,Female,0,0,6886,10000,3.0,0.4625249926368568,1
3145,607.0,48.0,2.0,127924.25,2.0,92243.94,Germany,Female,0,0,3180,10000,4.0,0.868887427119123,1
1071,712.0,52.0,8.0,142946.17999999996,1.0,47795.42999999999,Germany,Male,1,1,3323,10000,3.0,0.3197445639570967,1
7300,669.0,45.0,1.0,102486.21,1.0,158264.62,France,Male,0,0,6206,10000,3.0,1.3226035848399889,1
5833,611.0,49.0,9.0,62094.71,2.0,103068.22,Germany,Female,1,0,3026,10000,4.0,0.7043943369411413,1
6325,681.0,59.0,5.0,106819.65,1.0,163570.25,Germany,Male,1,1,3862,10000,3.0,0.2739076121405769,1
6221,579.0,45.0,0.0,170172.90000000002,2.0,115719.08,France,Female,1,0,5308,10000,4.0,0.816561995220979,1
9525,656.0,46.0,6.0,137145.12000000002,1.0,114110.97000000002,France,Female,1,0,4323,10000,3.0,0.16089426817967134,1
5700,484.0,41.0,3.0,0.0,2.0,170332.67,France,Male,1,1,8140,10000,3.0,0.8765363333032654,1
9165,589.0,46.0,2.0,81828.22,1.0,47777.15,Germany,Female,1,1,4480,10000,3.0,0.4391686940760771,1
9044,649.0,47.0,1.0,0.0,2.0,120250.58,Spain,Male,0,0,5370,10000,3.0,0.5545195003598896,1
5406,671.0,47.0,7.0,119769.77,1.0,83210.84,France,Female,0,0,3701,10000,4.0,0.6422680468709587,1
5927,549.0,43.0,3.0,165298.12,1.0,100236.02,Germany,Female,0,0,6991,10000,3.0,0.3294935542984726,1
6255,788.0,55.0,1.0,79954.61,2.0,13288.459999999986,Germany,Male,1,0,3345,10000,5.0,1.2586961783634179,1
4220,610.0,45.0,1.0,0.0,2.0,113645.4,Spain,Female,0,0,5317,10000,3.0,0.4368391307673724,1
586,598.0,53.0,9.0,83693.34,2.0,148477.57,Spain,Male,1,0,3202,10000,4.0,1.290069030672588,1
1018,689.0,45.0,5.0,72494.69,1.0,68831.72,Germany,Female,1,0,5347,10000,3.0,0.4909800423244965,1
6911,708.0,54.0,1.0,185891.54,2.0,46369.57,Germany,Female,1,0,2324,10000,5.0,1.0268510196575606,1
2991,520.0,49.0,8.0,143262.04,1.0,119377.36,France,Male,1,0,4255,10000,3.0,0.2729831317929825,1
9834,512.0,46.0,6.0,104947.72,1.0,175518.31,France,Female,0,1,4367,10000,3.0,0.197523535840079,1
3130,794.9999999999999,56.0,8.0,0.0,1.0,38941.44,Spain,Female,1,1,2598,10000,3.0,1.3176242655180217,1
2732,705.0,48.0,1.0,139887.01,2.0,139494.75,Germany,Female,1,0,3107,10000,4.0,0.7273796473894815,1
4870,718.0,43.0,1.0,86394.14,1.0,180134.88,Germany,Female,0,0,6974,10000,3.0,0.25750684909888344,1
9393,711.0,43.0,9.0,150900.29000000004,1.0,171014.69,Germany,Male,1,0,7799,10000,3.0,0.27741442423743967,1
2748,511.0,48.0,8.0,122451.46,2.0,175518.31,Germany,Male,1,0,4958,10000,4.0,0.5771836245562351,1
1222,518.0,46.0,1.0,104947.72,1.0,61446.920000000006,France,Male,1,0,5563,10000,3.0,0.19405877122517012,1
9102,678.0,61.0,2.0,149525.34,1.0,49978.670000000006,Germany,Female,0,1,3478,10000,3.0,0.6137142209362375,1
2673,792.0000000000001,50.0,2.0,118079.47,2.0,189414.74,France,Male,1,0,4092,10000,4.0,0.7429240665303716,1
3898,602.0,59.0,2.0,88381.21,1.0,18708.759999999987,Germany,Male,1,1,3846,10000,4.0,1.2377954201469032,1
9646,780.0000000000001,70.99999999999999,9.0,71996.09,1.0,108841.83,Germany,Male,1,0,4067,10000,5.0,1.304292440724136,1
7487,608.0,56.0,5.0,0.0,1.0,91943.94,France,Female,0,1,2659,10000,4.0,1.2238261689837242,1
6216,479.0,47.0,2.0,0.0,2.0,77475.73,France,Male,1,0,5382,10000,3.0,0.5223619522588152,1
8103,637.0,51.0,1.0,81370.07,2.0,26015.799999999992,Germany,Male,1,0,3841,10000,4.0,1.055076297636259,1
1111,797.0,59.0,1.0,75900.84,1.0,37464.00000000001,Germany,Male,1,1,3798,10000,3.0,0.3247556954831037,1
7018,669.0,50.0,8.0,185648.56,1.0,97508.04,Germany,Male,1,0,4166,10000,4.0,0.7663984163757931,1
6231,634.0,48.0,1.0,90044.32,1.0,188324.01,Germany,Male,1,1,4870,10000,3.0,0.2595998836977368,1
2210,676.0,34.0,1.0,91711.59,2.0,80682.35,Germany,Female,0,1,8345,10000,4.0,0.5003792437944763,1
7152,554.0,46.0,8.0,0.0,2.0,130590.35,France,Male,0,0,5567,10000,3.0,0.4037375575136906,1
6607,647.0,41.0,9.0,84390.80000000002,1.0,153383.54,Germany,Female,1,0,7369,10000,3.0,0.11885860148181276,1
467,771.0,38.0,5.0,137657.70999999996,2.0,72990.62,Germany,Female,1,0,8373,10000,4.0,0.4557796004639533,1
743,600.0,49.0,2.0,80816.45,2.0,96517.97,France,Female,0,0,3008,10000,4.0,0.7123920823676324,1
400,605.0,52.0,1.0,74129.18,2.0,32159.460000000006,France,Male,1,0,3273,10000,3.0,0.7601656488056046,1
1153,729.0,45.0,7.0,128412.61,2.0,112777.38,Germany,Female,0,0,5277,10000,4.0,0.5684541333208328,1
3550,485.0,51.0,4.0,144244.58999999997,2.0,49954.79,Germany,Male,1,0,3840,10000,4.0,0.8099129747587237,1
7058,543.0,70.99999999999999,4.0,91869.69,2.0,93146.11,France,Female,1,1,1660,10000,4.0,0.905131202510431,1
6968,610.0,50.0,7.0,81310.34,1.0,93568.77,Germany,Female,1,1,3085,10000,3.0,0.7191066353071993,1
7091,692.0,53.0,7.0,150200.23000000004,2.0,68021.9,Germany,Male,1,0,3232,10000,4.0,0.8205738602155194,1
7636,506.0,59.0,8.0,190353.07999999996,2.0,105898.69,Germany,Female,1,0,3022,10000,3.0,0.18975640168499586,1
4418,680.0,47.0,10.0,144090.42,2.0,191198.92,Spain,Female,1,0,3718,10000,4.0,0.6121027286587317,1
710,596.0,48.0,0.0,191808.73000000013,1.0,115268.86,France,Male,0,0,4944,10000,3.0,0.29467160250826685,1
9351,701.0,63.0,7.0,148368.02,1.0,48571.13999999999,Germany,Male,1,1,3549,10000,3.0,0.39428569912347866,1
1046,807.0,42.0,1.0,48387.00000000015,1.0,161242.99,Spain,Female,1,0,6926,10000,2.0,0.9169989050574996,1
4345,553.0,46.0,3.0,87603.35,1.0,145704.19,Germany,Male,1,1,5589,10000,3.0,0.43259662937817994,1
3337,695.0,56.0,4.0,99097.33,1.0,60887.58,Spain,Male,0,1,2959,10000,4.0,1.5149579613766229,1
921,832.0,61.0,1.0,0.0,1.0,60615.83,Spain,Male,1,1,3760,10000,3.0,1.6369538326042234,1
9587,717.0,76.0,10.0,76510.52,1.0,129984.19999999998,Germany,Female,1,0,2785,10000,3.0,0.30934303838724525,1
379,633.0,39.0,2.0,0.0,2.0,192505.62,Spain,Female,0,0,8413,10000,3.0,0.46312143320312077,1
7471,625.0,55.0,8.0,111973.97,2.0,117704.65,Germany,Female,0,1,2337,10000,4.0,0.43732410835909097,1
4076,632.0,50.0,1.0,0.0,2.0,32159.460000000006,France,Female,1,0,3121,10000,3.0,0.5136563910857415,1
1210,492.0,51.0,7.0,0.0,2.0,67311.12,France,Male,1,0,3900,10000,3.0,0.9159262546998668,1
