,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,nb_unique_pos,num_actionable,L0,L1,new_preds
9644,18.0,142647.0,10.0,14084.0,0.0,15.0, Private, Never-married, Prof-specialty, Own-child, White, Female, United-States,7,9960,4.0,1.3077163240887124,1
23696,29.0,309778.00000000006,9.0,7298.0,0.0,50.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1068,9960,3.0,0.176352705556081,1
30469,27.0,209085.0,9.0,0.0,1848.0,60.0, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,348,9960,4.0,2.4586304836205306,1
9061,23.0,149704.0,13.0,13550.0,0.0,40.0, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,39,9960,3.0,0.45180889301411165,1
19854,26.0,272865.0,13.0,10520.0,0.0,50.0, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,274,9960,3.0,0.32570415438275124,1
10259,45.0,148549.0,10.0,27828.0,0.0,45.0, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,4290,9960,3.0,0.34389448577722787,1
38613,41.0,124956.0,13.0,0.0,0.0,90.0, Self-emp-inc, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,1635,9960,4.0,2.5627121261556756,1
45565,20.0,271354.00000000006,9.0,0.0,1902.0,40.0, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,5,9960,6.0,3.593282637665448,1
6852,32.0,123430.0,9.0,0.0,0.0,84.0, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1796,9960,4.0,2.4481808464379773,1
39036,28.0,134890.0,11.0,7688.0,0.0,50.0, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,807,9960,4.0,0.3964848878673105,1
39734,39.0,365739.00000000006,9.0,0.0,0.0,40.0, Federal-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,3173,9960,2.0,1.225293654039385,1
13083,53.0,58534.99999999999,15.0,0.0,0.0,60.0, Federal-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,1104,9960,4.0,1.1796743846295243,1
3864,50.0,118565.0,10.0,0.0,0.0,40.0, State-gov, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States,4262,9960,3.0,1.141625296452679,1
28797,45.0,158685.0,13.0,4687.000000000023,0.0,40.0, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,1054,9960,4.0,1.3185279675694326,1
20128,44.0,307468.0000000001,9.0,0.0,0.0,77.99999999999977, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,3979,9960,2.0,0.23784345264510742,1
28156,21.0,200973.0,9.0,99999.0,0.0,40.0, Private, Never-married, Priv-house-serv, Own-child, White, Female, United-States,17,9960,4.0,2.117015097306896,1
28898,27.0,210498.0,13.0,0.0,0.0,50.0, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,337,9960,2.0,0.5061224489795918,1
43447,20.0,89991.00000000001,10.0,99999.0,0.0,35.0, Self-emp-not-inc, Never-married, Craft-repair, Own-child, White, Female, United-States,12,9960,6.0,3.1341904724687826,1
24953,30.0,158291.0,13.0,8614.0,0.0,25.0, Local-gov, Never-married, Craft-repair, Own-child, White, Male, United-States,1341,9960,5.0,2.311904822332382,1
9602,55.0,134120.0,9.0,4386.0,0.0,40.0, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,3173,9960,2.0,0.11157284858523792,1
2550,20.0,142673.0,10.0,14084.0,0.0,10.0, Private, Never-married, Sales, Own-child, White, Female, United-States,11,9960,4.0,1.4682177201935254,1
48337,27.0,204098.0,14.0,0.0,0.0,56.0, Private, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States,363,9960,4.0,1.3348051838176573,1
38041,25.0,234190.0,13.0,14344.0,0.0,48.0, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,121,9960,3.0,0.1901142599307305,1
13136,41.0,210259.00000000003,14.0,4687.000000000023,0.0,45.0, Local-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,1617,9960,4.0,1.3387303092183371,1
21192,52.0,192390.0,13.0,10520.0,0.0,65.0, Private, Divorced, Sales, Not-in-family, White, Male, United-States,3601,9960,3.0,0.18808329584669128,1
39072,29.0,176723.0,10.0,3103.0,0.0,40.0, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,630,9960,2.0,0.04374132547804961,1
27621,19.0,142738.0,10.0,14084.0,0.0,20.0, Private, Never-married, Sales, Own-child, White, Female, United-States,12,9960,4.0,1.2340238668795722,1
4984,27.0,208577.0,10.0,7298.0,0.0,40.0, Private, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,354,9960,4.0,1.149075878139715,1
34741,36.0,410489.0,9.0,0.0,0.0,40.0, Federal-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,2432,9960,2.0,1.0408867715524597,1
10721,29.0,243875.0,13.0,8614.0,0.0,45.0, Private, Never-married, Sales, Not-in-family, White, Male, United-States,1032,9960,3.0,0.17047275545996454,1
16124,51.0,162327.0,11.0,0.0,0.0,40.0, Private, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,3879,9960,2.0,0.15484449042639528,1
42174,55.0,132887.0,10.0,0.0,0.0,50.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,3050,9960,2.0,0.07015977524215002,1
14198,61.0,266646.00000000006,9.0,4386.0,0.0,40.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,2258,9960,2.0,0.04870637348997128,1
32361,55.0,143372.0,14.0,8614.0,0.0,40.0, Local-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,700,9960,3.0,0.15282236694558177,1
8552,42.0,355756.0,10.0,0.0,0.0,40.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,3629,9960,1.0,0.09634452518369457,1
37930,48.0,395367.9999999999,10.0,0.0,0.0,40.0, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,3837,9960,2.0,0.254042588336789,1
5613,23.0,142547.0,10.0,14084.0,0.0,15.0, Private, Never-married, Sales, Own-child, White, Male, United-States,84,9960,4.0,1.343673878655415,1
48413,34.0,513977.0000000002,10.0,0.0,0.0,50.0, Private, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States,2190,9960,4.0,1.2527696482423134,1
8260,25.0,180778.0,10.0,7688.0,0.0,40.0, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,122,9960,3.0,1.0814592530463814,1
43782,29.0,242482.0,9.0,10520.0,0.0,40.0, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,1021,9960,5.0,2.1730621058698896,1
3007,49.0,39999.99999999999,10.0,0.0,0.0,40.0, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,3637,9960,4.0,2.0540226263109087,1
42789,38.0,103323.0,5.0,0.0,2559.0,40.0, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,3069,9960,3.0,0.968353293244965,1
43975,31.0,243678.0000000001,13.0,8614.0,0.0,40.0, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,736,9960,4.0,1.367380541424792,1
76,40.0,445382.0,12.0,0.0,0.0,40.0, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,3380,9960,1.0,0.2797520224685627,1
32036,18.0,188476.0,7.0,34094.99999999839,0.0,15.0, Private, Never-married, Exec-managerial, Own-child, White, Male, United-States,6,9960,4.0,1.5461245494826636,1
45087,21.0,227986.00000000003,11.0,0.0,0.0,50.0, Private, Married-AF-spouse, Sales, Wife, White, Female, United-States,18,9960,4.0,2.138916935471494,1
30802,33.0,103435.0,13.0,0.0,0.0,40.0, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1881,9960,4.0,2.1193612150068475,1
46840,31.0,87891.0,10.0,10520.0,0.0,40.0, Private, Divorced, Tech-support, Not-in-family, White, Male, United-States,1559,9960,5.0,1.3493174159846835,1
19389,31.0,319145.99999999994,11.0,4386.0,0.0,45.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1549,9960,3.0,0.1955095757513046,1
18435,36.0,295127.0,9.0,7298.0,0.0,35.0, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, Mexico,2414,9960,3.0,1.147810712446704,1
11849,52.0,204584.0,14.0,14344.0,0.0,50.0, Private, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, United-States,931,9960,4.0,1.2795948486193365,1
48278,18.0,302712.00000000006,9.0,34094.99999999839,0.0,20.0, Private, Never-married, Sales, Not-in-family, White, Female, United-States,13,9960,5.0,2.5653822811485383,1
4400,25.0,106889.0,10.0,7688.0,0.0,50.0, Private, Never-married, Other-service, Not-in-family, White, Female, United-States,213,9960,6.0,2.6821454245918654,1
19210,18.0,106780.0,9.0,14344.0,0.0,35.0, Private, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States,8,9960,6.0,3.2626163924886398,1
22922,60.0,296484.9999999999,12.0,0.0,0.0,45.0, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,2792,9960,3.0,1.3212334450744114,1
41495,53.0,215990.0,9.0,0.0,0.0,40.0, Local-gov, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,3720,9960,3.0,1.0978452611669731,1
42696,23.0,442477.9999999998,10.0,8614.0,0.0,45.0, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,63,9960,4.0,1.349512329754258,1
40107,22.0,52262.0,10.0,14084.0,0.0,40.0, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,58,9960,3.0,1.2148108093517187,1
47102,23.0,311376.0,13.0,10520.0,0.0,40.0, Private, Never-married, Tech-support, Not-in-family, White, Female, United-States,38,9960,3.0,1.1135488976447776,1
10547,36.0,22494.0,10.0,7443.0,0.0,40.0, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,1219,9960,3.0,0.22347221021685199,1
5945,20.0,89991.00000000001,10.0,99999.0,0.0,40.0, Private, Never-married, Sales, Own-child, White, Female, United-States,17,9960,3.0,1.3511976823652296,1
23202,32.0,181091.0,16.0,15024.0,0.0,40.0, Private, Separated, Machine-op-inspct, Unmarried, Black, Male, United-States,1771,9960,4.0,1.653243540005269,1
23272,25.0,96862.0,10.0,7688.0,0.0,40.0, State-gov, Never-married, Adm-clerical, Own-child, White, Female, United-States,238,9960,4.0,1.1520496576845398,1
12490,24.0,208946.0,10.0,7298.0,0.0,40.0, Private, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,158,9960,5.0,3.1196627167692483,1
34704,40.0,142030.0,14.0,10520.0,0.0,40.0, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,1380,9960,3.0,0.47527262496338296,1
17339,26.0,102476.0,13.0,10520.0,0.0,40.0, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,301,9960,3.0,0.20649744215776816,1
28380,40.0,150533.0,10.0,0.0,2444.0000000000064,40.0, Private, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,3367,9960,3.0,1.6137035472786567,1
8518,29.0,244246.0,13.0,8614.0,0.0,40.0, Private, Never-married, Sales, Not-in-family, White, Male, United-States,1061,9960,4.0,1.3626368471662467,1
26204,22.0,53702.000000000015,9.0,14084.0,0.0,50.0, Private, Never-married, Other-service, Own-child, White, Male, United-States,46,9960,5.0,2.3046060755015234,1
9036,30.0,227359.0,13.0,0.0,0.0,42.0, Private, Married-civ-spouse, Sales, Husband, Black, Male, United-States,1357,9960,4.0,1.4591805717512165,1
