,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y
35816,23,193537,9,0,0,20, Private, Never-married, Adm-clerical, Own-child, Black, Male, United-States,0
28097,22,324922,9,0,0,50, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
10663,48,101299,12,0,0,45, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
22980,33,108328,10,6849,0,50, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
9431,20,41721,10,0,0,60, Private, Never-married, Other-service, Own-child, White, Male, United-States,0
45106,26,265781,13,0,0,60, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0
4573,21,688355,9,0,0,40, Private, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0
30862,55,105582,14,2228,0,50, Self-emp-not-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
47468,45,78022,13,0,0,40, Federal-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
28699,53,101432,9,0,0,50, Self-emp-not-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
37096,26,252563,13,0,0,40, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
41082,27,357348,9,2202,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
18714,28,375655,13,0,0,50, Private, Never-married, Sales, Unmarried, White, Male, United-States,0
21043,29,145011,10,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
9035,30,119422,6,0,0,40, State-gov, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
6476,41,210259,14,0,0,40, Local-gov, Never-married, Prof-specialty, Not-in-family, Black, Female, United-States,0
44847,39,185405,6,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
4203,55,163083,13,14084,0,45, Private, Separated, Exec-managerial, Not-in-family, White, Male, United-States,1
31058,22,251073,5,0,0,50, Private, Never-married, Other-service, Own-child, White, Male, United-States,0
20455,25,250038,5,0,0,45, Private, Never-married, Farming-fishing, Other-relative, White, Male, Mexico,0
32444,51,101432,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
41292,56,52822,10,0,0,70, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
45605,53,157059,9,0,0,50, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
36851,23,340543,9,0,0,40, Private, Separated, Adm-clerical, Not-in-family, White, Female, United-States,0
43555,36,172425,13,0,0,25, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
5639,37,126569,14,0,0,60, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
35404,41,386236,3,0,0,30, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, Mexico,0
2495,50,88842,13,7298,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
22708,53,283602,14,15024,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
28050,35,182898,9,8614,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,1
5061,22,216181,7,0,0,45, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
37536,62,143746,9,0,0,40, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0
14801,56,197114,9,0,0,28, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
27684,71,55965,4,0,0,10, Private, Widowed, Transport-moving, Not-in-family, White, Male, United-States,0
39876,25,104830,13,0,0,15, Private, Never-married, Prof-specialty, Own-child, White, Female, United-States,0
40109,41,196001,9,0,0,20, Private, Married-civ-spouse, Sales, Wife, White, Female, United-States,0
39603,54,160636,9,0,0,40, Federal-gov, Never-married, Adm-clerical, Unmarried, White, Female, Mexico,0
43707,51,275924,13,99999,0,50, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, Mexico,1
48313,31,144124,10,0,0,40, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
24237,19,102723,10,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
14540,65,243858,9,0,0,15, Private, Widowed, Other-service, Not-in-family, White, Female, United-States,0
19356,32,410615,9,0,1887,60, Self-emp-not-inc, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
5538,34,34104,14,7688,0,38, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
46679,37,201247,9,0,0,40, Private, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
40964,39,166697,9,0,0,35, Private, Never-married, Machine-op-inspct, Own-child, White, Female, United-States,0
21318,19,138153,10,0,0,10, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
33207,20,419984,9,0,0,25, Private, Divorced, Other-service, Unmarried, White, Female, United-States,0
16780,37,177858,10,2174,0,40, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0
22300,25,195994,2,0,0,40, Private, Never-married, Priv-house-serv, Not-in-family, White, Female, Guatemala,0
35277,66,147766,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
16923,41,143003,11,7298,0,60, Private, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, India,1
5427,29,95423,14,0,0,36, State-gov, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
466,52,35598,9,0,0,40, Private, Divorced, Transport-moving, Unmarried, White, Male, United-States,0
44102,62,116289,13,0,0,45, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
43636,30,198091,9,0,0,44, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
41919,68,152053,9,0,0,48, Private, Widowed, Other-service, Not-in-family, White, Female, United-States,0
42584,33,111696,10,0,0,45, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
9002,25,187653,9,0,0,48, Private, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
42331,33,361280,16,0,0,40, Private, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, Japan,0
6864,54,286989,1,0,0,60, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
20977,28,148645,9,0,0,40, Private, Never-married, Machine-op-inspct, Own-child, White, Female, United-States,0
35976,42,178983,13,0,0,37, Local-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
14219,19,190817,10,0,0,40, Private, Never-married, Sales, Own-child, White, Female, United-States,0
14080,33,106938,9,0,0,38, Private, Married-civ-spouse, Tech-support, Wife, Black, Female, United-States,0
22709,21,189749,10,0,0,40, Private, Never-married, Sales, Own-child, White, Male, United-States,0
36885,34,156266,7,0,0,60, Private, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, United-States,0
27631,18,423024,8,0,0,20, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
16072,41,104196,10,0,0,60, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
28368,73,105886,13,1173,0,75, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
21175,74,117017,10,0,0,16, State-gov, Separated, Sales, Not-in-family, White, Male, United-States,0
42445,27,101597,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States,0
5799,20,130840,9,0,0,20, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
27413,55,115439,15,99999,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
38564,72,117030,10,0,0,40, Self-emp-not-inc, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
39228,20,190916,9,0,1721,20, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
9913,25,29599,10,0,0,38, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
25961,38,136629,13,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Iran,0
41031,65,237024,2,0,0,35, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0
39665,26,220499,9,0,0,40, Private, Never-married, Handlers-cleaners, Unmarried, White, Male, United-States,0
14724,31,393357,5,0,0,48, Private, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,0
37253,57,112772,9,0,0,60, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
11262,46,199596,10,0,0,50, Self-emp-not-inc, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
14431,28,268726,9,0,0,46, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
1693,53,281590,9,15024,0,40, State-gov, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
37165,34,111985,9,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
41068,50,200618,14,0,0,60, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
40542,48,218357,9,0,0,25, Local-gov, Separated, Transport-moving, Unmarried, White, Female, United-States,0
35267,27,209301,9,0,0,60, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
10478,46,332355,10,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
35417,42,137136,9,0,0,55, Private, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States,0
26695,34,198613,9,0,2002,40, Self-emp-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
24007,25,469572,10,8614,0,40, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
47558,68,182574,10,991,0,29, Private, Widowed, Adm-clerical, Not-in-family, White, Female, United-States,0
2173,51,270194,5,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
35239,24,209034,9,0,0,50, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
22827,43,197069,13,0,0,40, Federal-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, Philippines,1
11103,35,92028,14,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
42352,31,263561,13,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
20463,85,166027,9,0,0,50, Self-emp-not-inc, Widowed, Sales, Not-in-family, White, Female, United-States,0
22749,65,105491,13,99999,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
45215,18,150675,6,0,0,40, Private, Never-married, Sales, Own-child, White, Male, United-States,0
39173,40,352971,14,0,0,60, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
1696,49,32212,9,0,0,43, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,0
37781,30,203488,13,0,0,60, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
5542,40,169878,12,0,0,40, Self-emp-inc, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
8879,34,97723,13,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
41711,33,177695,9,0,0,40, Local-gov, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male, United-States,0
11108,20,109813,7,0,0,40, Private, Never-married, Tech-support, Other-relative, White, Male, United-States,0
39781,20,37932,9,0,0,45, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0
803,31,51471,9,0,0,38, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
22199,50,163002,9,0,0,40, Private, Separated, Adm-clerical, Other-relative, White, Female, United-States,0
769,32,188557,9,0,0,40, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
26094,19,227178,7,0,0,25, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
47634,31,329635,13,0,0,50, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
19280,49,107597,9,14084,0,30, Self-emp-not-inc, Divorced, Exec-managerial, Unmarried, White, Female, United-States,1
5560,27,292472,10,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Cambodia,1
46488,28,190525,13,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
20211,40,178417,9,0,0,35, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
30840,53,55861,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
35181,37,593246,13,0,0,50, Self-emp-inc, Never-married, Other-service, Not-in-family, White, Female, United-States,1
46101,43,173590,13,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
39459,45,149169,10,0,0,50, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
14855,58,98725,16,0,0,50, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
30471,29,201556,13,0,0,50, State-gov, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
48169,41,109762,9,0,0,45, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
41594,52,172962,10,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
23324,39,103925,13,7688,0,32, Private, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
24268,29,119429,9,0,0,40, Private, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,0
15011,20,216889,10,0,0,40, Private, Never-married, Protective-serv, Own-child, White, Male, United-States,0
7401,35,82051,10,0,0,40, Self-emp-inc, Married-civ-spouse, Sales, Wife, White, Female, United-States,0
19339,62,136787,9,0,0,40, Local-gov, Divorced, Transport-moving, Other-relative, White, Male, United-States,0
39058,28,93235,10,0,0,40, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
3394,18,97963,9,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
16278,27,36440,13,0,0,40, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
10010,56,231781,9,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
16590,34,182401,12,0,0,40, Private, Divorced, Adm-clerical, Not-in-family, Black, Male, United-States,0
12570,20,344278,7,0,0,40, Private, Separated, Other-service, Own-child, White, Female, United-States,0
42431,32,347623,11,3411,0,40, State-gov, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,0
26392,33,131934,9,0,0,45, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0
40292,34,320027,9,0,0,50, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
20726,26,357933,10,0,0,15, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
13510,57,171242,10,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
24223,44,171589,11,7688,0,40, Local-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
40647,46,172155,13,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Peru,0
19272,26,169121,13,0,0,48, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
41444,33,194336,9,5178,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7761,23,227943,12,0,0,30, Private, Never-married, Sales, Own-child, White, Male, United-States,0
32906,27,106562,13,0,0,50, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,1
25944,28,23324,10,0,0,40, Private, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
36658,54,249949,10,0,0,40, Local-gov, Divorced, Exec-managerial, Other-relative, Black, Female, United-States,0
1687,37,171150,9,0,1887,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
39531,39,33975,13,0,0,45, State-gov, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
38632,49,199862,9,0,2179,40, Local-gov, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
12867,35,133935,13,0,0,40, Federal-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
4440,40,344060,15,0,0,50, Self-emp-inc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
13899,43,106760,9,0,0,50, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, Canada,1
16342,53,346754,10,0,0,40, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
16981,71,217971,5,0,0,13, Private, Widowed, Sales, Unmarried, White, Female, United-States,0
40341,46,274689,12,0,0,40, Local-gov, Divorced, Protective-serv, Not-in-family, White, Male, United-States,0
35274,57,114686,11,2202,0,44, Private, Divorced, Tech-support, Not-in-family, White, Female, United-States,0
28700,40,125776,11,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
19167,45,106910,9,0,0,40, Federal-gov, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Female, United-States,0
19587,61,128230,9,0,0,30, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
48069,23,51973,9,0,0,50, Private, Never-married, Other-service, Not-in-family, Black, Female, Japan,0
33308,41,186990,15,0,0,52, State-gov, Widowed, Prof-specialty, Not-in-family, Other, Female, United-States,1
4144,52,114062,9,0,0,40, Private, Divorced, Craft-repair, Unmarried, White, Female, United-States,0
3883,63,159715,6,0,0,40, Self-emp-not-inc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
5641,40,115161,9,0,0,30, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
25766,46,187749,13,0,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Philippines,1
35829,25,198512,13,0,0,40, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
7275,42,104663,16,0,0,40, State-gov, Never-married, Exec-managerial, Not-in-family, White, Female, Italy,1
36583,31,183125,15,0,0,99, Self-emp-inc, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
37478,22,196943,9,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
33114,51,217480,10,8614,0,40, Private, Separated, Adm-clerical, Not-in-family, Black, Male, United-States,1
6807,24,51799,9,0,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States,0
29656,45,45857,7,0,0,36, Private, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0
31666,53,311269,9,0,0,40, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0
1552,56,117148,4,0,0,40, Private, Divorced, Machine-op-inspct, Not-in-family, White, Female, United-States,0
18195,36,22494,10,0,0,40, Private, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
35,48,242406,7,0,0,40, Private, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico,0
26224,21,218445,10,0,0,40, Local-gov, Never-married, Adm-clerical, Own-child, White, Female, Mexico,0
5706,31,459465,10,0,0,50, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
22283,59,176011,10,0,0,40, Private, Separated, Adm-clerical, Unmarried, White, Male, United-States,0
1688,53,117496,5,0,0,36, Private, Divorced, Other-service, Not-in-family, White, Female, Canada,0
2050,22,188569,10,0,0,20, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
18611,31,217460,9,0,0,45, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
28647,49,250733,9,0,0,46, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
12534,24,232918,13,0,0,20, State-gov, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
5694,44,182616,11,0,0,40, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
22294,29,180758,14,0,0,40, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
36034,36,126675,13,0,0,35, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
45836,51,251346,5,0,0,38, Local-gov, Married-civ-spouse, Other-service, Wife, White, Female, Puerto-Rico,0
17564,44,205051,6,0,0,40, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
36493,47,293917,9,0,0,40, State-gov, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1
2422,29,121523,7,0,0,60, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
5959,29,83003,9,0,0,40, Private, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0
