,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
5102,62,73292,10,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0,0
46688,22,349198,4,0,0,16, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0,0
21633,35,23892,9,0,0,40, Federal-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0,0
9129,29,149324,10,0,1485,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
48558,45,50162,10,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
44308,30,156464,9,0,0,40, Private, Never-married, Sales, Own-child, White, Male, Germany,0,0
33106,38,203717,13,0,0,60, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
7450,47,123207,9,0,0,20, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1,0
29394,29,235393,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,0,0
43043,43,214242,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Poland,0,0
10744,38,102178,9,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
20972,25,383306,13,0,0,40, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0,0
18029,44,115896,11,0,0,40, Self-emp-not-inc, Widowed, Prof-specialty, Unmarried, White, Female, United-States,0,0
253,19,27382,10,0,0,40, Local-gov, Never-married, Adm-clerical, Own-child, White, Male, United-States,0,0
18830,22,157145,11,0,0,50, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0,0
2722,19,275889,7,0,0,40, Private, Never-married, Handlers-cleaners, Own-child, White, Male, Mexico,0,0
28929,51,193720,9,0,0,56, State-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
1519,17,32124,5,0,0,9, Local-gov, Never-married, Other-service, Own-child, Black, Male, United-States,0,0
9361,32,303942,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0,0
14218,47,343579,9,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0,0
13,32,205019,12,0,0,50, Private, Never-married, Sales, Not-in-family, Black, Male, United-States,0,0
42952,51,182211,10,0,0,70, Self-emp-inc, Divorced, Sales, Own-child, White, Female, United-States,0,0
7273,27,245661,9,0,0,40, Private, Separated, Machine-op-inspct, Own-child, White, Female, United-States,0,0
10312,48,280422,10,0,0,25, Private, Separated, Other-service, Not-in-family, White, Female, Peru,0,0
26456,36,343476,9,0,0,30, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0,0
9441,47,217509,9,0,0,45, Private, Widowed, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female, Thailand,0,0
30906,39,251323,5,0,0,40, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Other-relative, White, Male, Cuba,0,0
17198,59,309124,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1,0
47941,32,162160,10,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
47552,59,39398,9,0,0,42, Self-emp-not-inc, Married-civ-spouse, Sales, Wife, White, Female, United-States,0,0
10721,29,293073,13,0,0,50, Private, Never-married, Sales, Not-in-family, White, Male, United-States,1,0
34349,23,298623,9,0,0,40, Private, Never-married, Transport-moving, Own-child, Black, Male, United-States,0,0
5689,32,131379,9,0,0,40, Private, Never-married, Other-service, Own-child, White, Female, United-States,0,0
23085,27,133425,9,0,0,50, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0,0
233,33,110978,10,0,0,40, Private, Divorced, Craft-repair, Other-relative, Other, Female, United-States,0,0
38290,35,188243,9,0,0,48, Private, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States,0,0
43358,46,99699,13,0,1876,40, Private, Separated, Prof-specialty, Not-in-family, Black, Female, United-States,0,0
45133,44,268039,10,0,0,40, Private, Divorced, Handlers-cleaners, Other-relative, Black, Male, United-States,0,0
38972,28,185896,10,0,0,47, Private, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male, Mexico,0,0
42157,32,227608,11,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0,0
219,25,255004,6,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
33761,20,408988,10,594,0,24, Private, Never-married, Sales, Own-child, White, Female, United-States,0,0
