,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
17007,25,195914,10,3418,0,30, Private, Never-married, Sales, Own-child, Black, Female, United-States,0,0
39072,29,157950,10,0,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1,0
1510,25,224943,10,0,0,40, Private, Married-spouse-absent, Prof-specialty, Unmarried, Black, Male, United-States,0,0
13076,28,243660,9,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
2827,23,325596,10,0,0,40, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0,0
10348,26,190330,13,0,0,30, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0,0
21877,28,250135,10,0,0,40, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0,0
3877,36,175759,9,0,0,40, Private, Divorced, Exec-managerial, Unmarried, White, Male, United-States,0,0
20968,19,405526,9,0,0,40, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0,0
41015,39,210150,14,0,0,40, State-gov, Never-married, Protective-serv, Not-in-family, White, Female, United-States,0,0
26665,66,350498,10,0,1258,20, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
45270,31,302679,8,0,0,55, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0,0
22132,30,266463,9,0,0,40, Federal-gov, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1,0
7877,24,357028,10,0,0,40, Private, Never-married, Exec-managerial, Own-child, White, Male, United-States,0,0
33625,37,144005,10,0,0,50, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0,0
14565,45,201127,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0,0
48833,31,440129,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
46809,28,220656,7,0,0,40, Private, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States,0,0
20296,20,249543,10,0,0,16, Private, Never-married, Protective-serv, Own-child, White, Female, United-States,0,0
45416,29,146764,10,0,0,35, Private, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0,0
45804,32,110100,11,0,0,40, Local-gov, Divorced, Prof-specialty, Unmarried, Black, Female, United-States,0,0
21431,39,139703,9,0,0,28, Private, Married-spouse-absent, Sales, Unmarried, Black, Female, Jamaica,0,0
20061,56,147989,10,0,0,40, Private, Married-spouse-absent, Transport-moving, Not-in-family, White, Male, United-States,0,0
32371,49,111959,13,0,0,60, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, Scotland,1,0
21259,28,46868,14,0,0,40, Private, Never-married, Tech-support, Not-in-family, White, Female, United-States,0,0
8605,21,285457,10,0,0,50, Private, Never-married, Transport-moving, Own-child, White, Male, United-States,0,0
22029,23,139012,11,0,0,40, Private, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, South,0,0
34321,22,338162,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, United-States,0,0
13187,45,556652,9,0,0,40, Local-gov, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,1,0
36026,29,109404,13,0,0,50, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0,0
16406,28,192838,11,0,0,45, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
17616,27,206125,6,0,0,60, Local-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
10593,24,159580,13,0,0,75, Private, Never-married, Other-service, Own-child, Black, Female, United-States,0,0
24706,37,38948,9,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
4239,24,116934,10,0,0,45, Private, Separated, Sales, Unmarried, White, Female, United-States,0,0
48809,25,242136,9,0,0,40, Private, Divorced, Machine-op-inspct, Not-in-family, Black, Male, United-States,0,0
47409,40,223881,10,0,0,50, Private, Divorced, Tech-support, Not-in-family, White, Male, United-States,0,0
19407,23,222835,13,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0,0
39734,39,33001,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
