,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
16768,27,420351,9,0,0,40, Private, Never-married, Transport-moving, Own-child, White, Male, United-States,0,0
20508,45,116163,9,0,0,40, Private, Separated, Exec-managerial, Not-in-family, White, Female, United-States,0,0
21345,54,175262,4,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0,0
5886,29,35032,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
22433,46,180505,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States,0,0
22105,18,30687,10,0,0,10, State-gov, Never-married, Adm-clerical, Own-child, White, Male, United-States,0,0
5125,20,216972,9,0,0,30, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0,0
29546,25,231638,10,0,0,24, Private, Never-married, Tech-support, Unmarried, White, Female, United-States,0,0
42052,70,210673,6,0,0,20, Private, Widowed, Adm-clerical, Other-relative, White, Male, United-States,0,0
14201,30,149368,9,1151,0,30, Private, Divorced, Sales, Unmarried, White, Male, United-States,0,0
26335,26,173593,14,0,0,20, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Canada,0,0
12000,37,75050,11,0,0,55, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
29924,37,114605,9,0,0,40, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
24448,22,239098,9,0,0,40, Private, Never-married, Other-service, Unmarried, White, Female, United-States,0,0
7935,20,245297,10,0,0,20, Private, Never-married, Other-service, Not-in-family, White, Female, United-States,0,0
43812,40,195124,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, Columbia,0,0
46467,29,204663,9,3325,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0,0
23926,59,118358,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
17881,68,73773,9,0,0,24, Private, Widowed, Sales, Not-in-family, White, Female, United-States,0,0
16362,59,171328,9,0,2339,40, Local-gov, Separated, Protective-serv, Other-relative, Black, Female, United-States,0,0
47765,61,244933,9,0,0,38, Private, Divorced, Sales, Not-in-family, White, Female, United-States,0,0
18216,54,118793,9,0,0,45, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0,0
28441,52,311931,3,0,0,15, Private, Married-civ-spouse, Sales, Wife, White, Female, El-Salvador,0,0
2605,31,209276,9,0,0,40, Private, Married-civ-spouse, Other-service, Husband, Other, Male, United-States,0,0
46341,53,161482,13,0,0,50, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,1,0
41208,19,150384,9,0,0,40, Self-emp-inc, Never-married, Exec-managerial, Own-child, White, Male, United-States,0,0
